Displacements
Node, u, v
85 ,1, 85, 187.712357, -509.877982, 196.337955
85 ,2, 86, 261.234305, -415.382433, 257.561905
85 ,3, 118, 229.449279, -555.180789, 201.269546
85 ,4, 117, 308.857512, -453.119774, 267.395184
86 ,1, 86, 71.888092, -426.316886, 389.358643
86 ,2, 87, 171.342778, -408.543644, 468.752108
86 ,3, 119, 198.151042, -408.566033, 357.429652
86 ,4, 118, 305.568230, -389.369836, 443.179486
87 ,1, 87, -81.455925, -325.210149, 424.809507
87 ,2, 88, -11.239925, -435.399852, 533.217114
87 ,3, 120, 125.630046, -263.534665, 356.969401
87 ,4, 119, 201.467651, -382.546334, 474.056296
88 ,1, 88, -189.413720, -312.862070, 149.143915
88 ,2, 89, -168.609474, -404.981359, 297.902251
88 ,3, 121, 63.926995, -264.444935, 103.441383
88 ,4, 120, 86.396863, -363.939442, 264.109550
89 ,1, 89, -168.609474, -404.981359, -297.902251
89 ,2, 90, -189.413720, -312.862070, -149.143915
89 ,3, 122, 86.396863, -363.939442, -264.109550
89 ,4, 121, 63.926995, -264.444935, -103.441383
90 ,1, 90, -11.239925, -435.399852, -533.217114
90 ,2, 91, -81.455925, -325.210149, -424.809507
90 ,3, 123, 201.467651, -382.546334, -474.056296
90 ,4, 122, 125.630046, -263.534665, -356.969401
91 ,1, 91, 171.342778, -408.543644, -468.752108
91 ,2, 92, 71.888092, -426.316886, -389.358643
91 ,3, 124, 305.568230, -389.369836, -443.179486
91 ,4, 123, 198.151042, -408.566033, -357.429652
92 ,1, 92, 261.234305, -415.382433, -257.561905
92 ,2, 93, 187.712357, -509.877982, -196.337955
92 ,3, 125, 308.857512, -453.119774, -267.395184
92 ,4, 124, 229.449279, -555.180789, -201.269546
93 ,1, 93, 212.747407, -388.079882, -54.768030
93 ,2, 94, 187.405019, -504.902054, 7.898578
93 ,3, 126, 203.506189, -481.890417, -89.476320
93 ,4, 125, 176.134848, -608.065561, -21.792522
94 ,1, 94, 76.106651, -292.244488, 55.851824
94 ,2, 95, 87.834925, -406.883967, 143.811122
94 ,3, 127, 40.978370, -446.156282, 7.850937
94 ,4, 126, 53.645629, -569.973983, 102.852397
95 ,1, 95, -67.355622, -182.864770, 56.014476
95 ,2, 96, -43.775706, -268.829812, 179.485858
95 ,3, 128, -108.141066, -393.106325, 12.513416
95 ,4, 127, -82.673304, -485.953867, 145.870115
